video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term
/watch?v=g0mid3QtlGo&pp=ygURZGlzYWJpbGl0eSByaWdodHPSBwkJhwoBhyohjO8%3D,/@UCDavisMINDInstitute,UC Davis MIND Institute,Disability Rights California: Overview of programs and how to connect & benefit from their services,1.8K,4 years,Disability Rights California: Your Ally When Faced with Roadblocks to Services: a general overview of DRC programs and how ...,2026-01-22 06:01:56.474577,disability rights
/watch?v=rXfpG5V-xvM&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@disabilitylawgroup,Disability Law Group,Disability Advocacy in Action: Disability Rights Michigan | Disability Attorneys for the Community,126,9 months,"What does real, community-rooted disability advocacy look like in Michigan? In this episode, DLG partner Erika Riggs sits down ...",2026-01-22 06:01:56.475261,disability rights
/watch?v=sArub0JFQ7M&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@stephaniewoodwarddisabilit2795,"Stephanie Woodward, Disability Details",Disability Rights for College Students,923,6 years,"Going to college can be a scary and exciting time for anyone, but it can be especially scary and exciting for college students with ...",2026-01-22 06:01:56.476153,disability rights
/watch?v=j2tqcaWFWBk&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@ExpressoSABC,Expresso Show,What is Disability Rights Awareness Month?,278,9 years,"The Department of Social Development has seen the need to highlight the plight of disabled people in South Africa, by putting ...",2026-01-22 06:01:56.476763,disability rights
/watch?v=1b5EY_PWgj4&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@ccsDisabilityAction,ccsDisabilityAction,Disability Rights (CC),345,2 years,"CCS Disability Action is the largest pan-disability support and advocacy organisation in New Zealand. In this video, hear from ...",2026-01-22 06:01:56.477382,disability rights
/watch?v=2t7JX8b2QCk&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@ABACRSJ,ABA Section of Civil Rights and Social Justice,Two Swings and a Dismiss: Disability Rights Cases in the U.S. Supreme Court’s 2024-2025 Term,390,Streamed 6 months,"Presented by the ABA Section of Civil Rights and Social Justice, this webinar will review the several important disability rights ...",2026-01-22 06:01:56.478059,disability rights
/watch?v=I1dnio27wos&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@canadianhumanrightscommiss2870,Canadian Human Rights Commission - CHRC,"Monitoring disability rights and housing rights in Canada - COSP side event - June 16, 2022",988,3 years,"This is a panel discussion that took place on June 16, 2022 as a side event during the Conference of States Parties to the ...",2026-01-22 06:01:56.478981,disability rights
/watch?v=U_UhrOdvw3s&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@CentreforHumanRights,Centre for Human Rights,COVID-19 Disability Rights Monitor: Agnes from Zimbabwe,251,5 years,Disability rights during the pandemic: A global report on findings of the COVID-19 Disability Rights Monitor The COVID-19 ...,2026-01-22 06:01:56.479596,disability rights
/watch?v=2cq-aNjO118&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@DemocracyNow,Democracy Now!,The Rolling Resistance: Meet Three Disability Rights Activists Fighting to Save Healthcare,6.6K,8 years,"https://democracynow.org - Disability activists across the nation are staging historic protests in Washington, D.C., and other cities ...",2026-01-22 06:01:56.480233,disability rights
/watch?v=BRihKdbAFzg&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@WJTV12News,WJTV 12 News,Disability Rights Mississippi pauses new cases due to funding delay,37,8 months,News.,2026-01-22 06:02:05.465989,disability rights
/watch?v=bCVrqH9NmJ4&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@TaiwanPlusNews,TaiwanPlus News,Foreigners in Taiwan Fight for Equal Disability Rights | TaiwanPlus News,1K,2 years,Taiwan for years has tried to attract more foreign talent to the country. But now some of the foreign residents who have lived here ...,2026-01-22 06:02:05.469408,disability rights
/watch?v=ZWlZzDpIMLE&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@MyotonicStrong,Myotonic Dystrophy Foundation,Disability Rights & Resources - 2022 MDF Annual Conference,93,3 years,"Presented by Christopher Knauf, Esq. Many individuals living with myotonic dystrophy – types 1 and 2 – and their families may ...",2026-01-22 06:02:05.472029,disability rights
/watch?v=VueHve0XrfM&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@BobbyJonesCSF,Bobby Jones Chiari & Syringomyelia Foundation,"""Know Your Rights: Disability Rights & Advocacy in the Work Environment"" - Matthew Roberts MS4",151,6 years,Help share more videos like this by donating to Bobby Jones CSF: http://ow.ly/RLvc50uoPdN Fourth-year medical student and ...,2026-01-22 06:02:05.474204,disability rights
/shorts/RGPOwoVD3Ho,/@tvotoday,TVO Today,How Fighting for Disability Rights Helps Everyone,5K,1 year,David Lepofsky explains that fighting for the rights of people with disabilities really helps everyone. He gives the example of the ...,2026-01-22 06:02:05.479018,disability rights
/shorts/iTdKKZnhWds,/@NDRNadvocates,National Disability Rights Network,Disability Rights Oregon - All Things Considered - Resisting institutionalization.,90,3 months,"We're proud to see Disability Rights Oregon, their Protection & Advocacy (P&A) organization, featured in NPR 's latest episode of ...",2026-01-22 06:02:05.481425,disability rights
/watch?v=4QNI5QTFSW8&pp=ygURZGlzYWJpbGl0eSByaWdodHPSBwkJhwoBhyohjO8%3D,/@huffpost,HuffPost,How the #CripTheVote Movement Is Bringing Disability Rights to This Election,1.7K,9 years,"This minority group wants to be heard by candidates this election, Subscribe to HuffPost today: http://goo.gl/xW6HG Get More ...",2026-01-22 06:02:05.483462,disability rights
